 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
0.44683859,0.496075011,0.494726698,0.603914729,0.603914729,0.998704138,0.797103787,0.809022885,0.303579392,0.781324079,0.000430399,0.000318857,0.453675885,0,0,0.162403607,0.162403607,0.162403607,0.210645741,0.316757445,0.003539181,0.090953505,0.166151992,0.022037296,0.848067767,0.689636752,0.689636752,0.217621952,9610000000,0.000564967,0.265978196,0.374101188,0.061843801,0.057932942,0.630612252,0.000458695,0.014088339,0.985911661,0.006548115,0.369637181,0.005365848,0.090942401,0.165409848,0.394493471,0.043478261,0.001527802,0.004140605,0.000136617,0.000111205,0.014032258,0.007623048,0.385416431,0.007441758,0.869810893,0.470342793,0.477371571,0.46650521,0.058540321,0.166110705,0.014457356,0.322372073,0.277005639,0.008862536,0.786183382,0.73711264,0.326577199,0,0.917746616,0.002089819,0.02126558,0.000524965,0.000524462,0.594248358,0.001349333,0.671751731,0.14719436,0.786183382,0.326577199,0.110933234,0.723186968,0.573192765,0.553903483,0.322462806,0.00458562,0,0.778495247,0.000676372,0.624509849,0.603913681,0.839186993,0.275112102,0.026791157,0.565158396,1,0.234926624
0.474772096,0.529491932,0.528400878,0.595583678,0.595583678,0.998951178,0.797344361,0.809273775,0.303482954,0.781534887,4950000000,0,0.462719442,0.000417042,0,0.159875269,0.159875269,0.159875269,0.211213009,0.321036995,0.0241844,0.094129143,0.166829856,0.022061238,0.847592834,0.689467467,0.689467467,0.217607196,6170000000,0.000442291,0.263895688,0.378795499,0.002144143,0.001236452,0.604813975,0.021724619,0.208906491,0.791093509,0.004837164,0.38443421,0.005365848,0.094117934,0.16583968,0.400393611,0.085457271,0.001775334,0.003559947,0.000141203,5830000000,0.04016129,0.014781957,0.391465593,0.032346888,0.676178258,0.087884485,0.168004605,0.016834174,0.001111205,0.000653371,0.136542241,0.343162135,0.276820026,0.00302421,0.621778622,0.721587657,0.338316108,0.004801207,0.92657798,0.002180413,0.016038472,6980000000,366000000,0.593824049,212000000,0.671573433,0.758245891,0.621778622,0.338316108,0.113566389,0.644095986,0.459417966,0.581444548,0.314932442,0.123828979,0,0.791291624,0.007124032,0.627454268,0.595578828,0.839314815,0.290534561,0.025614122,0.614468738,1,0.01633786
0.55199142,0.626362843,0.608383746,0.613182663,0.613218697,0.999008489,0.797834225,0.809726601,0.304218927,0.782005625,0.000275099,625000000,0.455781183,0.000660066,0.018119243,0.220302558,0.220302558,0.221945978,0.252150893,0.314175568,0.019178124,0.099503298,0.202003465,0.022104396,0.847995866,0.689519173,0.689519173,0.217606091,9690000000,0.000525589,0.264459053,0.373020752,0.012987791,0.012403196,0.630885193,0.002469474,0.062762645,0.937237355,0.007922081,0.371580892,0.008430218,0.099459345,0.200339341,0.394947637,0.076461769,0.001625191,0.003893825,0.000503477,0.000433473,0.019193548,0.010407884,0.39359128,0.00315317,0.780345045,0.194572659,0.198660178,0.055250721,0.012333602,0.009908537,0.029175972,0.333384116,0.277031121,0.002043247,0.422240878,0.733483484,0.327157291,0.018015439,0.949103481,0.002566662,0.022919003,0.000115867,0.000119268,0.59396225,9130000000,0.671531681,0.079999285,0.422240878,0.327157291,0.115327238,0.611123956,0.44684742,0.54920306,0.310789082,0.022557403,0,0.841133799,0.031234336,0.623881758,0.613183932,0.842706435,0.276570321,0.026878282,0.565542185,1,0.061476504
0.56232633,0.555222416,0.599871513,0.607914499,0.607914499,0.99909954,0.797518532,0.80942259,0.303476911,0.781686606,9900000000,5080000000,0.485624418,0.000282028,0.112663225,0.194513506,0.194513506,0.194513506,0.223976553,0.338685718,0.017620279,0.106587411,0.178654817,0.022049923,0.847994925,0.689275387,0.689275387,0.217579852,6670000000,0.000439671,0.263788455,0.38804441,0.011145051,0.010352632,0.631101629,0.005047465,0.105148593,0.894851407,0.005096701,0.374474091,0.005522448,0.106494374,0.177671367,0.395791662,0.068965517,0.000825784,0.007652732,0.001280189,5450000000,0.02016129,0.008492575,0.395863956,0.019484293,0.787527,0.297712646,0.290463459,0.162780473,0.011080929,0.017386189,0.049313073,0.372977864,0.276994283,0.000521034,0.435183588,0.734289944,0.32820076,0.020861785,0.935692249,0.00243825,0.010569838,0.000168149,0.000178786,0.593971791,0.000260162,0.671630105,0.626146329,0.435183588,0.32820076,0.119910132,0.689723607,0.470484954,0.675889851,0.321345174,0.026237012,0,0.808840047,0.007276052,0.623580076,0.607914592,0.840968249,0.278439551,0.026916612,0.565693114,1,0.035989144
0.506556818,0.5710314,0.554044649,0.601615763,0.601615763,0.999024781,0.79751037,0.809407748,0.303619272,0.781673273,7260000000,1600000000,0.458116303,0.000207021,0.179572831,0.191310943,0.191310943,0.191310943,0.229365605,0.312477895,0.030869519,0.104388893,0.184454319,0.02204741,0.847976032,0.689274695,0.689274695,0.217579066,7340000000,0.000433383,0.263473747,0.358900563,0.011066424,0.008275243,0.630745812,0.004294221,0.094416059,0.905583941,0.012702822,0.373496644,0.005365848,0.104409921,0.183455245,0.403338322,0.139430285,0.000511296,0.01235094,0.000119421,0.003713647,0.029354839,0.090883187,0.411365641,0.004153628,0.822351322,0.45870555,0.574741416,0.078087409,0.008560672,0.004235789,0.097561171,0.331134547,0.27723308,0.006822931,0.969266361,0.736281388,0.329965042,0,0.942199743,0.002562616,0.011193132,0.000169589,0.000138708,0.593971765,6430000000,0.671581718,0.024210629,0.969266361,0.329965042,0.110933234,0.657724907,0.463203541,0.534993944,0.316596717,0.026420017,0,0.817753812,0.003860743,0.624085468,0.601612957,0.841527135,0.277893192,0.026826119,0.565319764,1,0.040370598
0.544288987,0.616059747,0.600085658,0.624684703,0.624684703,0.999087061,0.797613018,0.809517504,0.303668337,0.781791589,0.00038056,0.00040324,0.466688475,0,0.039983804,0.189161856,0.189161856,0.189161856,0.240049163,0.321178468,0.025303628,0.110088755,0.19160955,0.022163626,0.848436579,0.689930714,0.689930714,0.217654512,7650000000,0.000530231,0.264833594,0.382223092,0.029234854,0.025196291,0.630612252,0.001902261,0.05079058,0.94920942,0.017744796,0.369637181,0.005365848,0.110085169,0.190196818,0.397824022,0.145427286,0.001079403,0.005855254,0.000113306,0.005739548,0.029354839,0.031749482,0.405305172,0.001050269,0.927549272,0.750345723,0.812718043,0.600653389,0.025988215,0.060070776,0.052697817,0.355644208,0.277047595,0.008727846,0.940788511,0.740775206,0.327860455,0,0.947797333,0.002368538,0.057670836,0.000237913,0.00022487,0.594051643,0.000481007,0.671612398,0.018023729,0.940788511,0.327860455,0.110933234,0.707714339,0.490076783,0.590559095,0.321887324,0.009983191,0,0.842743642,0.000397644,0.624010106,0.62468505,0.842667667,0.276158499,0.026791157,0.565158396,1,0.075762637
0.428216253,0.473342782,0.469778896,0.602574266,0.602574266,0.998971399,0.797230369,0.80915868,0.303241497,0.781403378,0.000141423,4990000000,0.469954623,0.000155016,0,0.172264127,0.172264127,0.172264127,0.194384041,0.332390182,0.028026075,0.09657194,0.154929577,0.022040662,0.847936682,0.688750739,0.688750739,0.217517723,6060000000,0.000393007,0.262550606,0.39441526,0.007043348,0.006053748,0.630594786,0.006724482,0.125374127,0.874625873,0.006592303,0.369960388,0.008165765,0.096471086,0.155161753,0.400094852,0.139430285,0.000649265,0.009732855,0.000254509,0.000877537,0.032580645,0.015821864,0.392505823,0.002412277,0.771204108,0.452943486,0.495806444,0.202994733,0.00627762,0.008231824,0.13066388,0.366067076,0.277384073,0.002332805,0.987637822,0.733398712,0.332161776,0,0.92630862,0.002113851,0.050856596,0.000132437,0.000125775,0.593929769,0.000154551,0.671593205,0.087372903,0.987637822,0.332161776,0.110933234,0.678457587,0.46645911,0.668262898,0.320316603,0.041054644,0,0.761380759,0.000525322,0.623763462,0.602574871,0.837260577,0.279655672,0.02678556,0.56513157,1,0.029692044
0.522010432,0.572121675,0.569998394,0.599021318,0.599021318,0.999022933,0.797446456,0.809355669,0.303510991,0.781619659,328000000,153000000,0.47039078,0.000368037,0.221581132,0.177573638,0.177573638,0.177573638,0.230405597,0.330515668,0.064975725,0.114078658,0.185508775,0.02208066,0.848027311,0.689387599,0.68938682,0.21758917,5890000000,0.000435953,0.263905013,0.383424612,0.010883585,0.005529722,0.631149916,0.007778659,0.136046195,0.863953805,0.005154515,0.376397671,0.005365848,0.114074943,0.184510972,0.403653156,0.269865067,0.001974171,0.003203866,0.000131458,0.000347989,0.063709677,0.048687631,0.402060107,0.018884541,0.815042809,0.30779333,0.526214404,0.044375798,0.006168675,0.002583899,0.090854138,0.357832924,0.277466371,0.012523745,0.629675259,0.736846826,0.330616075,0.007741007,0.939236635,0.002514899,0.013372719,6490000000,3780000000,0.593938825,1730000000,0.671573139,0.434450951,0.629675259,0.330616075,0.118043876,0.645725265,0.459796894,0.640441418,0.315048644,0.026857309,0,0.818261506,0.002050441,0.623780247,0.599021216,0.841953153,0.280420126,0.026930109,0.565743954,1,0.027099783
0.611953395,0.647132577,0.655067188,0.625037836,0.625037836,0.99930325,0.797799778,0.80964692,0.30354217,0.781935309,0.000169754,238000000,0.479449435,0,0.1407025,0.221398171,0.221398171,0.221398171,0.27191075,0.340772441,0.034817067,0.150802052,0.222565339,0.022112598,0.848062427,0.689463543,0.689463543,0.217600738,6960000000,0.000469841,0.264345603,0.38464476,0.012936621,0.012352041,0.630612252,0.002392872,0.061220788,0.938779212,0.005233937,0.369637181,0.005365848,0.150088752,0.22097881,0.398957428,0.122938531,0.000578252,0.010945405,0.000535387,0.000143735,0.025967742,0.014347194,0.408312793,0.013046612,0.815322009,0.439576686,0.440914336,0.141787606,0.012489123,0.011631437,0.064349336,0.393023823,0.277016722,0.001509245,0.96516828,0.735300978,0.328323845,0,0.956393397,0.002670792,0.02563697,0.00014269,0.00014822,0.59397183,0.000129597,0.671582757,0.434064448,0.96516828,0.328323845,0.110933234,0.657734204,0.465195522,0.672586588,0.316312945,0.022646154,0,0.862123248,0.001905964,0.624262647,0.625038621,0.843919415,0.276514787,0.026791157,0.565158396,1,0.063028637
0.469799639,0.541157872,0.521869479,0.616368065,0.616368065,0.999109709,0.797403017,0.809312704,0.303253823,0.78152436,0.00022445,0,0.463913842,0.000712071,0.733576273,0.174792466,0.174792466,0.174792466,0.213387539,0.324503077,0.006034757,0.099421871,0.170445131,0.022036664,0.847976079,0.689136831,0.689136831,0.217508919,5490000000,0.000437101,0.263944643,0.387280653,0.009043966,0.000479733,0.636105327,0.010938455,0.16138102,0.83861898,0.005869641,0.379539146,0.005365848,0.099369779,0.169444235,0.413965004,0.020989505,0.003489799,0.001811995,287000000,0.000120283,0.014193548,0.025762672,0.404728523,0.034111059,0.819578699,0.074725146,0.752068737,0.011785624,0.00080367,0.000402814,0.15511871,0.347614157,0.27832575,0.021623256,0.91611437,0.738173512,0.335158248,0.001759434,0.931458506,0.002233123,0.012097063,0.001361895,0.000139617,0.594229073,5550000000,0.671568033,0.122760454,0.91611437,0.335158248,0.113660768,0.641756582,0.459088815,0.600876217,0.314326402,0.032201644,0,0.796168657,0.006389152,0.621504279,0.616369402,0.840062914,0.282712012,0.037593891,0.569748247,1,0.022285793
0.495198167,0.54726341,0.544140479,0.613312386,0.612209746,0.999040611,0.797465132,0.809384963,0.303506882,0.781648712,0.000226879,798000000,0.463524655,0.000347035,0.025508655,0.186422822,0.186422822,0.186422822,0.219532949,0.319834477,0.013551734,0.100236137,0.174060405,0.022111555,0.848087484,0.689911122,0.689911122,0.21765054,666000000,0.000454519,0.264139683,0.378972467,0.013596837,0.007929636,0.631825591,0.005661186,0.113069504,0.886930496,0.005190778,0.37518425,0.005365848,0.100232872,0.173101576,0.400506147,0.056971514,0.000689844,0.009165859,3000000000,6280000000,0.019032258,0.004929277,0.393240768,0.010259013,0.822893433,0.293534195,0.472883206,0.162611425,0.008183303,0.013071915,0.065677366,0.344181602,0.277337952,0.014325022,0.543076129,0.736758767,0.328987211,0.011599229,0.936295747,0.002306534,0.016194172,0.000338861,0.000212879,0.594048542,0.000311159,0.671557965,0.474252047,0.543076129,0.328987211,0.119330558,0.633238998,0.457109831,0.577606326,0.313102162,0.021556246,0,0.803207524,0.00074997,0.624010902,0.613311997,0.840585291,0.278884923,0.027229597,0.566635948,1,0.03326016
